ID,Province,Study_site,Latitude,Longitude,Altitude,MAT,MAP,Soil_fertility,Forest_type,Dominant_species,Stand_origin,Stand_age,MMD,Mean_DBH,Mean_height,Stand_density,GSV,Plot_dimension,Sample_size,Method,Tree_numbers,Trees,AGBt,Wood,Bark,Stem,Branch,Leaf,Crown,Reproduction,BGBt,Understory,AGBu,BGBu,Shrub,AGBs,BGBs,Floor,AGBf,BGBf,Liana,DOM,Litterfall,Suspended_branches,Dead_trees,Sources
826,Heilongjiang,Suiling Forest Region,47.77,128.04,380,-0.4,700,V,Picea forest,P. koraiensis,Planted,18,Min DBH,2.7,2.9,3300,2.595,400,1,Average,,9.338,7.977,2.079,0.756,2.835,1.426,3.716,5.142,NA,1.361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Mu et al. 1995ab
827,Heilongjiang,Suiling Forest Region,47.77,128.04,280,-0.4,700,V,Picea forest,P. koraiensis,Planted,16,Min DBH,3.1,3.05,3975,4.334,400,1,Average,,14.356,12.651,4.742,1.097,5.839,2.313,4.499,6.812,NA,1.705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Mu et al. 1995ab
828,Jiangxi,Dagang Mountain,27.67,114.63,150,17.8,1527,III,Cunninghamia forest,C. lanceolata,Planted,19,Min DBH,7.8,6.9,5333,86.395,NA,NA,Allometry,NA,71.18,57.274,33.628,6.375,40.003,6.627,9.858,16.485,0.786,13.906,2.621,NA,NA,NA,NA,NA,NA,NA,NA,0,3.105,3.105,0,0,Nie 1993
829,Jiangxi,Dagang Mountain,27.67,114.63,150,17.8,1527,III,Cunninghamia forest,C. lanceolata,Planted,19,Min DBH,10.2,10.41,3854,161.868,NA,NA,Allometry,NA,102.652,83.971,49.474,9.594,59.068,10.893,12.126,23.019,1.884,18.681,4.22,NA,NA,NA,NA,NA,NA,NA,NA,0,3.89,3.89,0,0,Nie 1993
830,Jiangxi,Dagang Mountain,27.67,114.63,150,17.8,1527,III,Cunninghamia forest,C. lanceolata,Planted,19,Min DBH,16.1,15.85,1647,255.285,NA,NA,Allometry,NA,145.044,118.911,71.257,14.28,85.537,17.413,13.603,31.016,2.358,26.133,4.954,NA,NA,NA,NA,NA,NA,NA,NA,0,3.735,3.735,0,0,Nie 1993
831,Hebei,Jianfang Forest Farm,41.73,117.15,1290,7,500,II,Pinus forest,P. tabuliformis,Planted,28,Min DBH,11.4,8.6,2150,126.951,900,1,Allometry,7,NA,71.022,38.49,8.676,47.166,13.311,9.321,22.632,1.224,NA,NA,0.16,NA,NA,NA,NA,NA,NA,NA,0,28.52,28.52,0,0,Nie et al. 1997
832,Hebei,Jianfang Forest Farm,41.73,117.15,1240,7,500,II,Pinus & broadleaved mixed forest,Pinus tabuliformis & Betula platyphylla,Planted,26,Min DBH,11.38,9.69,1867,88.426,900,1,Allometry,10,NA,56.85,40.516,4.711,45.227,7.586,3.764,11.35,0.273,NA,NA,3.42,NA,NA,NA,NA,NA,NA,NA,0,8.57,8.57,0,0,Nie et al. 1997
833,Hebei,Jianfang Forest Farm,41.73,117.15,1270,7,500,II,Pinus & broadleaved mixed forest,Pinus tabuliformis & Betula platyphylla,Planted,26,Min DBH,10.26,9.03,1712,61.497,900,1,Allometry,10,NA,43.416,31.385,3.601,34.986,5.438,2.728,8.166,0.264,NA,NA,3.42,NA,NA,NA,NA,NA,NA,NA,0,8.57,8.57,0,0,Nie et al. 1997
834,Hebei,Jianfang Forest Farm,41.73,117.15,1260,7,500,II,Pinus forest,P. tabuliformis,Planted,28,Min DBH,11.5,8.8,2033,104.788,900,1,Allometry,7,82.324,70.789,37.694,8.41,46.104,14.682,8.968,23.65,1.035,11.535,0.16,NA,NA,NA,NA,NA,NA,NA,NA,0,28.52,28.52,0,0,Nie et al. 1997; Shen et al. 1985
835,Guangdong,Leizhou Forest Region,21.58,110.06,23,23.5,1453,II,Eucalyptus forest,E. maculata,Planted,5,Min DBH,8.3,10.6,1800,46.116,NA,1,Average,,NA,39.418,NA,NA,33.494,3.284,2.641,5.924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Pan 1990
836,Guangdong,Leizhou Forest Region,21.58,110.06,23,23.5,1453,II,Eucalyptus forest,E. 12ABL,Planted,5,Min DBH,8.2,11,2160,55.922,NA,1,Average,,NA,44.311,NA,NA,38.982,3.321,2.009,5.329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Pan 1990
837,Guangdong,Leizhou Forest Region,21.58,110.06,23,23.5,1453,II,Eucalyptus forest,E. leizhou No.1,Planted,5,Min DBH,9.4,11.3,1725,59.099,NA,1,Average,,NA,54.372,NA,NA,45.04,6.898,2.434,9.332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Pan 1990
838,Guangdong,Leizhou Forest Region,21.58,110.06,23,23.5,1453,II,Eucalyptus forest,E. exserta,Planted,5,Min DBH,9.5,10.2,1890,62.143,NA,1,Average,,NA,39.976,NA,NA,27.056,11.186,1.733,12.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Pan 1990
839,Guangdong,Leizhou Forest Region,21.58,110.06,23,23.5,1453,II,Eucalyptus forest,E. urophylla,Planted,5,Min DBH,11.4,13.4,1440,86.213,NA,1,Average,,NA,80.705,NA,NA,59.136,13.333,8.236,21.569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Pan 1990
840,Guangdong,Leizhou Forest Region,21.58,110.06,23,23.5,1453,II,Eucalyptus forest,E. camaldulensis,Planted,5,Min DBH,7.9,16,2715,84.952,NA,1,Average,,NA,50.75,NA,NA,42.785,5.001,2.963,7.965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Pan 1990
841,Guangdong,Leizhou Forest Region,21.58,110.06,23,23.5,1453,II,Eucalyptus forest,E. tereticornis,Planted,5,Min DBH,8.3,13.9,2355,73.17,NA,1,Average,,NA,41.099,NA,NA,33.729,4.989,2.381,7.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Pan 1990
842,Guangdong,Leizhou Forest Region,21.58,110.06,23,23.5,1453,II,Eucalyptus forest,E. citriodora,Planted,5,Min DBH,7,10.8,2175,40.151,NA,1,Average,,NA,32.306,NA,NA,27.633,2.798,1.875,4.673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Pan 1990
843,Fujian,Xinkou Forest Farm,26.16,117.54,220,19.8,1604,III,Cunninghamia forest,C. lanceolata,Planted,26,Min DBH,18,15.9,1500,299.729,400,1,Average,,130.827,111.31,NA,NA,94.1,12.63,4.58,17.21,NA,19.517,0.52,NA,NA,0.31,NA,NA,0.21,NA,NA,0,7.02,7.02,0,0,Pan 2005a
844,Fujian,Xinkou Forest Farm,26.16,117.54,220,19.8,1604,III,Castanopsis forest,C. lamontii,Planted,26,Min DBH,20.5,14.4,887,203.398,400,1,Average,,150.28,123.6,NA,NA,99.4,21.66,2.54,24.2,NA,26.68,0.31,NA,NA,0.18,NA,NA,0.13,NA,NA,0,7.8,7.8,0,0,Pan 2005a
845,Fujian,Xinkou Forest Farm,26.16,117.54,220,19.8,1604,III,Cunninghamia forest,C. lanceolata,Planted,28,Min DBH,18.1,16.6,1875,393.94,400,1,Average,,180.27,156.7,NA,NA,135.52,13.33,7.85,21.18,NA,23.57,11.69,NA,NA,11.18,NA,NA,0.51,NA,NA,0,5.516,5.516,0,0,Pan 2005b
846,Fujian,Xinkou Forest Farm,26.16,117.54,220,19.8,1604,III,Lindera forest,L. communis,Planted,28,Min DBH,17.8,16.9,2042,421.88,400,1,Average,,303.67,249.42,NA,NA,192.74,43.77,12.91,56.68,NA,54.25,1.8,NA,NA,1.45,NA,NA,0.35,NA,NA,0,5.096,5.096,0,0,Pan 2005b
847,Sichuan,Maoxian Ecological Station,31.7,103.9,2200,8.9,945,III,Cercidiphyllum forest,C. japonicum,Planted,10,Min DBH,NA,NA,NA,NA,NA,NA,Allometry,15,NA,76.068,41.945,9.144,51.089,15.354,9.625,24.979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.448,2.448,0,0,Pan and Liu 1999
848,Hunan,Huitong Forest Region,26.78,109.63,400,17.4,1284,III,Cunninghamia forest,C. lanceolata,Planted,11,Min DBH,9.2,8.7,4080,152,670,1,Allometry,102,70.7,53.9,NA,NA,38.9,7.1,7.9,15,NA,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,2.9,0,0,Pan et al. 1978
849,Hunan,Huitong Forest Region,26.78,109.63,400,17.4,1284,III,Cunninghamia forest,C. lanceolata,Planted,11,Min DBH,11.7,10.4,3090,198,670,1,Allometry,102,91.6,72.8,NA,NA,53.6,7.1,12.1,19.2,NA,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,7.1,0,0,Pan et al. 1978
850,Hunan,Huitong Forest Region,26.78,109.63,400,17.4,1284,III,Cunninghamia forest,C. lanceolata,Planted,11,Min DBH,12.1,11.7,3090,234,670,1,Allometry,102,106.6,84.2,NA,NA,63.9,10.2,10.1,20.3,NA,22.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,8.4,0,0,Pan et al. 1978
851,Hunan,Zhuting Township,27.86,113.18,178,17.8,1504,III,Cunninghamia forest,C. lanceolata,Planted,7,Min DBH,8.5,6.4,3765,90,670,1,Allometry,82,56.6,46.4,NA,NA,26.5,8.5,11.4,19.9,NA,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.6,0,0,Pan et al. 1978
852,Hunan,Zhuting Township,27.86,113.18,178,17.8,1504,III,Cunninghamia forest,C. lanceolata,Planted,7,Min DBH,7.7,5.9,3525,67,670,1,Allometry,82,42.6,34.9,NA,NA,19.6,6.5,8.8,15.3,NA,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1.1,0,0,Pan et al. 1978
853,Hunan,Zhuting Township,27.86,113.18,178,17.8,1504,III,Cunninghamia forest,C. lanceolata,Planted,11,Min DBH,8.7,7.5,4035,102,670,1,Allometry,82,58.5,46.098,NA,NA,29.133,6.962,10.004,16.965,NA,12.402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2.1,0,0,Pan et al. 1978
854,Guangxi,Lufengshan Forest Farm,23.75,109.67,196,21.1,1418,III,Cunninghamia forest,C. lanceolata,Planted,8.5,Min DBH,8.5,7.2,4980,122,333,4,Allometry,7,65.6,52.6,23.1,5.8,28.9,8.5,15.2,23.7,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Pan et al. 1983
855,Sichuan,Central Hilly Region of Sichuan Province,31.56,105.78,490,16.2,1025,III,Cupressus forest,C. lusitanica,Planted,11,Min DBH,NA,NA,NA,NA,900,2,Allometry,9,75.71,69.51,NA,NA,40.88,14.86,13.77,28.63,NA,6.2,1.05,NA,NA,0,NA,NA,1.05,NA,NA,0,0.966,0.966,0,0,Pan et al. 2002
856,Fujian,Tianma Forest Farm,24.36,117.4,200,20.9,1472,II,Acacia forest,A. mangium,Planted,7,Min DBH,12.9,12.4,875,65.468,NA,NA,Average,,41.974,35.035,23.214,4.445,27.659,3.859,3.518,7.376,NA,6.939,2.88,NA,NA,0.5,NA,NA,2.38,NA,NA,0,3.36,3.36,0,0,Pan et al. 2008
857,Fujian,Tianma Forest Farm,24.36,117.4,200,20.9,1472,II,Acacia forest,A. melanoxylon,Planted,7,Min DBH,13.5,14.7,1000,97.141,NA,NA,Average,,56.93,48.55,38.87,6.04,44.91,2.26,1.38,3.64,NA,8.38,0.96,NA,NA,0.72,NA,NA,0.24,NA,NA,0,3.25,3.25,0,0,Pan et al. 2008
858,Fujian,Tianma Forest Farm,24.36,117.4,200,20.9,1472,II,Acacia forest,A. cincinnata,Planted,7,Min DBH,15.6,15.5,900,123.095,NA,NA,Average,,68.508,55.287,39.438,7.407,46.845,4.428,4.014,8.442,NA,13.221,1.82,NA,NA,0.82,NA,NA,1,NA,NA,0,4.87,4.87,0,0,Pan et al. 2008
859,Sichuan,Miyaluo Forest Region,31.68,102.8,3240,4.7,1194,V,Picea forest,P. likiangensis var. balfouriana ,Planted,8,Min DBH,NA,2.2,NA,NA,500,5,Average,,NA,7.95,NA,NA,2.01,2.41,3.53,5.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Pang et al. 2002
860,Sichuan,Miyaluo Forest Region,31.68,102.8,2800,4.7,1194,V,Picea forest,P. likiangensis var. balfouriana ,Planted,30,Min DBH,NA,17.8,NA,NA,500,5,Average,,NA,125.5,NA,NA,75.3,15.8,34.4,50.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Pang et al. 2002
861,Sichuan,Miyaluo Forest Region,31.68,102.8,3110,4.7,1194,V,Picea forest,P. likiangensis var. balfouriana ,Planted,56,Min DBH,NA,23.5,NA,NA,500,5,Average,,NA,218.9,NA,NA,125,28.1,65.8,93.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Pang et al. 2002
862,Sichuan,Miyaluo Forest Region,31.68,102.8,3210,4.7,1194,V,Picea forest,P. likiangensis var. balfouriana ,Primary,71,Min DBH,NA,24.2,NA,NA,500,5,Average,,NA,359.4,NA,NA,242.6,33.8,83,116.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Pang et al. 2002
863,Fujian,Zhanghu Forest Farm,26.43,118.48,460,19.3,1699,III,Phoebe forest,P. bournei,Planted,35,Min DBH,24,17.3,670,229.22,400,2,Average,,182.948,151.847,128.858,14.159,143.017,6.057,2.773,8.83,NA,31.101,1.064,NA,NA,NA,NA,NA,NA,NA,NA,0,9.482,9.482,0,0,Peng 2003
