Latitude,Longitude,Altitude,MAT,MAP,Soil_fertility,Forest_type,Dominant_species,Stand_origin,Stand_age,Stem,Branch,Leaf,Crown,pca_0,pca_1,I,II,III,IV,V,Cunninghamia_forest,Eucalyptus_forest,Larix_forest,Other_Forest_type,Pinus_forest,Populus_forest,C._lanceolata,L._gmelinii,Other_Dominant_species,P._koraiensis,P._massoniana,P._tabuliformis,Planted,Primary,Secondary,AGBt
0.599502487562189,1.0,-0.6428385755133872,-1.632108948098789,-1.3175072431103405,V,Other,Other,Secondary,1.993357775601994,0.7239341772655319,0.919362541332974,-0.9884360957251073,0.41082909577543697,0.6942635070824146,-1.4000557735493397,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4.995961491862462
0.1162935323383083,0.14331428571428617,-0.39329347543540427,-1.0796259105393657,-1.2465615702084352,V,Other,Other,Secondary,1.8746426047263216,0.7692761769832758,1.5825321727320047,-0.5959528746155518,1.0829966989575637,1.6161870049534628,-1.2421103903256034,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,5.090684155597011
0.5037313432835822,0.9236571428571434,-0.8819859630881206,-1.4230613122654936,-1.418858204398777,II,Pinus forest,Other,Primary,0.6874908959695972,0.13248346313199486,0.14372761766740547,-0.11245399761119931,0.06799987892287669,0.13607585917781334,-0.19102787466444754,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,4.622725191233977
-0.03917910447761219,-0.15839999999999943,-0.11775409409929827,-0.6316666908965901,-1.1573727242746112,III,Other,Other,Planted,1.162351579472287,-0.4378734923552186,-0.07829743631562117,-0.7312558419993879,-0.3188916642301055,-0.7159218464995277,-0.42836646218676827,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,4.032398234003114
0.37126865671641784,0.12822857142857202,-0.44736158045230057,-1.1990817024441058,-1.6215601269756497,II,Pinus forest,P. tabuliformis,Planted,0.2917736597173557,-0.7531301074278425,-0.6135528569137061,-0.7601995180119097,-0.7658839888546226,-1.4243659574233651,-0.18519757261334452,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3.3064836905897166
0.1759950248756219,0.0934857142857144,-0.37769690668053035,-0.9900340666108105,-1.4695336850429952,I,Other,Other,Planted,-0.18308702378533417,-0.6223959736512912,-0.1643294872365897,-1.1035133617989885,-0.5128006402880729,-1.105637909010551,-0.6513278654929159,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3.716980884224811
-0.847636815920398,0.07062857142857126,-0.9963608006238628,1.473741641424456,2.6351802471386763,I,Other,Other,Planted,-0.4600890891619032,-0.5081417994600579,-0.7045455697493926,-0.9521693209624297,-0.9039189243345254,-1.512708351998115,-0.43542313914202513,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3.7262956554993587
-0.6268656716417911,0.3792,-0.7712503249285158,0.8167347859483846,0.9223490013641023,II,Other,Other,Planted,-0.6975194309132482,-0.7956419173062474,-0.7343095412377014,-0.3246495018716742,-0.7198530435079269,-1.3146486942547784,0.24191392184709504,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3.2268439945173775
-0.19340796019900486,-0.28365714285714283,0.4541200935794123,-1.3782653903012163,-0.01210686171528072,V,Other,Other,Planted,0.2917736597173557,0.08731835027920945,0.08065634475170366,4.7143398762119135,1.6193295879468,2.8464787354634247,4.0431995627331325,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,4.832305758571839
-0.3731343283582089,0.3069714285714289,-0.8585911099558098,0.3239796443413317,1.2669422697447856,III,Cunninghamia forest,C. lanceolata,Planted,0.0147715943407866,0.19128360515867898,-0.20791244548732746,1.1980319596786364,0.21587790963414819,0.5657549317862919,1.0106036365012443,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4.688941319052769
-0.8762437810945274,0.047314285714286086,-0.9755653756173642,1.4289457194601782,-0.0871065730687236,II,Eucalyptus forest,Other,Planted,-0.4798749509745153,0.346487088587849,-0.606749663430664,-0.7260250571778479,-0.7489191247205574,-0.8805967206658932,-0.6316391600831027,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,4.633038239330564
-0.08457711442786087,-0.025371428571427934,-0.115154665973486,-0.7660544567894226,-0.5330508027378434,V,Pinus forest,P. tabuliformis,Planted,-0.10394357653488585,-0.44378446175925473,-0.16666808499638533,0.08858249902999028,-0.11884522879257885,-0.33356965170388964,0.30926106121210917,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,4.086144365656761
0.233830845771144,0.05828571428571472,-0.585651156745516,-0.8257823527417927,-1.5384523387191318,I,Pinus forest,P. tabuliformis,Planted,-0.22265874741055833,-0.9343507005780195,-0.8455701013249505,-0.6489581608071577,-0.9184519649408406,-1.6806645162523728,0.047133974358768184,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2.529720665577793
-0.5366915422885572,0.3901714285714286,-0.8455939693267481,0.8764626819007549,0.8189710208498971,III,Other,Other,Planted,0.0147715943407866,-0.21250488582576868,0.5115252653443628,0.10776204337563722,0.4416321937936032,0.4748166266010963,0.058497596447254586,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,4.4405313640464446
-0.5497512437810945,0.2032000000000007,-0.7936054068105017,0.42850346225797925,0.40545909879307696,IV,Eucalyptus forest,Other,Planted,-0.5788042600375757,3.9309225201107263,2.7466577909187833,1.0772008303010607,2.589742976639404,5.253737055902486,-1.4385700700115998,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,5.998961375534605
0.37126865671641784,0.12822857142857202,-0.44736158045230057,-1.1990817024441058,-1.6215601269756497,II,Other,Other,Secondary,-0.26223047103578245,-0.519315153096615,-0.531489335524512,-1.008487437541011,-0.7812276373035213,-1.374887288690409,-0.5223763125616586,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3.758568749707981
-0.5310945273631842,0.35634285714285685,-0.74681570054588,0.4583674102341642,1.2041046737459553,III,Other,Other,Planted,-0.4996608127871274,-0.4623575825799172,-0.1206047957882885,1.3788427550098707,0.3472542806928309,0.4517796294714233,1.4283712892241591,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,4.193284510077004
-0.375,0.04685714285714315,-0.804003119313751,0.279183722377054,0.49464794472690093,IV,Other,Other,Secondary,0.33134538334257985,0.016563604295733815,0.6560931268590053,-0.4501883375886355,0.37446754397955656,0.40613102200215534,-0.5614823941337199,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4.597138014290827
0.15111940298507465,0.21919999999999984,-0.22173121913179106,-1.034829988575088,-1.2161562818219043,I,Pinus forest,P. tabuliformis,Planted,0.48963227784347646,-0.4321394098161411,0.23301953213233145,0.08858249902999028,0.20771393064813057,0.07768577066046757,0.20543288757484046,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,4.1878349053094395
-0.48196517412935336,0.2777142857142856,-0.7780088380556278,0.6375510980912744,0.5209991946618944,III,Other,Other,Planted,-0.6183759836627999,-0.7172220738412285,-0.443756486232783,0.39371161361982676,-0.2439104387911484,-0.5667204372346852,0.7611999524002395,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3.65687265797885
